বালাসরস্বতী	Balasaraswati
ইসলাম করিমভ	Islam Karimov
ন্যাটালি উড	Natalie Wood
উমা রামা রাও	Uma Rama Rao
লিভ উলমান	Liv Ullmann
এ এফ এম নাজমুল হুদা	AFM Nazmul Huda
এ. এন. এম. নূরুজ্জামান	A. N. M. Nuruzzaman
এনামুল হক	Enamul Huq
এনামুল হক মোস্তফা শহীদ	Enamul Haque Mostafa Shahid
এম হামিদুল্লাহ খান	Muhammad Hamidullah Khan
এস জনকী	S. Janaki
ওয়াজিহুদ্দিন আহমেদ	Wajihuddin Ahmed
চেস্টার ওয়াটসন	Chester Watson
ওয়াহিদ মুরাদ	Waheed Murad
বেভান কংডন	Bevan Congdon
কফি আনান	Kofi Annan
কাচ তন্তু	Glass fiber
কান্তা গুপ্তা	Kanta Gupta
ক্লাউদিয়া কার্দিনালে	Claudia Cardinale
মোবারক হোসেন খান	Mobarak Hossain Khan
খালেদ মোশাররফ	Khaled Mosharraf
গিরিশ কারনাড	Girish Karnad
এলিয়ট গোল্ড	Elliott Gould
চার্লি গ্রিফিথ	Charlie Griffith
জন গ্লিসন	John Gleeson
চঞ্চল কুমার মজুমদার	Chanchal Kumar Majumdar
চরণ দাস সিধু	Charan Dass Sidhu
চুনী গোস্বামী	Chuni Goswami
বেলাল চৌধুরী	Belal Chowdhury
জটু লাহিড়ী	Jatu Lahiri
আব্দুল জব্বার	Abdul Jabbar
জয়ন্ত বিষ্ণু নারলিকর	Jayant Narlikar
অ্যালেন জোন্স	Alan Jones
ঝর্ণা ধারা চৌধুরী	Jharna Dhara Chowdhury
ডার্বিস এরোগলু	Derviş Eroğlu
ডেভিড ব্যাল্টিমোর	David Baltimore
ডোনাল্ড কানুথ	Donald Knuth
স্পেন্সার ড্রাইডেন	Spencer Dryden
তারিক মেহমুদ	Tariq Mehmood
তালুকদার মনিরুজ্জামান	Talukder Moniruzzaman
তাহির হুসাইন	Tahir Hussain
গ্রাহাম থমাস	Grahame Thomas
দাইতারি বেহেরা	Daitari Behera
বিদিত লাল দাস	Bidit Lal Das
সুখেন দাস	Sukhen Das
নগুগি ওয়া থিয়োঙ্গ’ও	Ngũgĩ wa Thiong\o
নবনীতা দেবসেন	Nabaneeta Dev Sen
ব্যারি নাইট	Barry Knight
নাইমা খান উপ্রেতী	Naima Khan Upreti
নাজমুল হক	Nazmul Huq
নাজমুল হুদা বাচ্চু	Nazmul Huda Bachchu
নীলমণি দেবী	Neelamani Devi
নুরুল ইসলাম	Nurul Islam
নূর হাসান হুসেন	Nur Hassan Hussein
ফারাহ পাহলভি	Farah Pahlavi
প্রাণ কুমার শর্মা	Pran Kumar Sharma
বিল প্লেল	Bill Playle
লিওনার্ড ফ্রে	Leonard Frey
জ্যাকি বটেন	Jackie Botten
জাভেদ বার্কি	Javed Burki
বাসুদেব দাশগুপ্ত	Basudeb Dasgupta
বিরজু মহারাজ	Birju Maharaj
রিচার্ড বেঞ্জামিন	Richard Benjamin
নূরজাহান বোস	Noorjahan Bose
ওয়েন ব্র্যাডবার্ন	Wynne Bradburn
কলিন ব্ল্যান্ড	Colin Bland
জন ভইট	Jon Voight
ভি মোহিনী গিরি	V. Mohini Giri
মকবুলা মনজুর	Mokbula Manzoor
মাইনুর রেজা চৌধুরী	Mainur Reza Chowdhury
মনোজ মিত্র	Manoj Mitra
ফ্রাঙ্ক মিসন	Frank Misson
মীর শওকত আলী	Mir Shawkat Ali
মুহাম্মদ আকরাম	Muhammad Akram
মৃদুলা গার্গ	Mridula Garg
মোহাম্মদ ফরহাদ	Mohammad Farhad
মোহাম্মদ শামশাদ আলী	Mohammad Shamshad Ali
রড লেভার	Rod Laver
রবার্ট কান	Bob Kahn
রবার্ট হ্যামার্টন-কেলি	Robert Hamerton-Kelly
রাগীব আলী	Ragib Ali
রাসেল মোশার পিটজার	Russell M. Pitzer
রিওজি নোয়োরি	Ryōji Noyori
ডায়ানা রিগ	Diana Rigg
অলিভার রিড	Oliver Reed
টনি লুইস	Tony Lewis
ফ্র্যাঙ্ক ল্যানজেলা	Frank Langella
শশী কাপুর	Shashi Kapoor
শশী দেশপাণ্ডে	Shashi Deshpande
শাম লাল	Sham Lal
শামীম আরা	Shamim Ara
শিবকুমার শর্মা	Shivkumar Sharma
শীলা দীক্ষিত	Sheila Dikshit
সঞ্জীব কুমার	Sanjeev Kumar
সদরউদ্দিন মুহাম্মাদ হোসেন	Sadruddin Mohammad Hossain
সরোজ কুমার নাথ অধিকারী	Saroj Kumar Nath Adhikari
সাঁই পরঞ্জপে	Sai Paranjpye
মার্গারিটা সালাস	Margarita Salas
সুহাইলা সিদ্দিকী	Suhaila Seddiqi
সিরাজুল ইসলাম	Sirajul Islam
সুকুমার বড়ুয়া	Sukumar Barua
সুখপাল বীর সিং হসরত	Sukhpal Vir Singh Hasrat
সুখরঞ্জন সমাদ্দার	Sukharanjan Samaddar
সুলতান আহমেদ	Sultan Ahmed
স্বর্ণ লতা	Swaran Lata
ফজলুল হক	Fazlul Haque
হরিপ্রসাদ চৌরাসিয়া	Hariprasad Chaurasia
গ্লেন হল	Glen Hall
হুগো ইয়াং	Hugo Young
লিরয় এডওয়ার্ড হুড	Leroy Hood
পল ডির‍্যাক	Paul Dirac
চৌধুরী চরণ সিং	Charan Singh
গাবি অ্যালেন	Gubby Allen
আইজাক বাশেভিস সিঙ্গার	Isaac Bashevis Singer
আদম মালিক	Adam Malik
আবদুল জব্বার খান	Abdul Jabbar Khan
আলফ্রেড কাস্টলার	Alfred Kastler
আলভা মিরডাল	Alva Myrdal
আল্লাহ জিলাই বাই	Allah Jilai Bai
আহমাদ গোলাম আলী ছাগলা	Ahmed Ghulam Ali Chagla
ইউজিন পল উইগনার	Eugene Wigner
জ্যাক ইডন	Jack Iddon
ভাইবার্ট উইট	Vibart Wight
উইলিয়াম ওয়াইলার	William Wyler
এম আর কায়ানী	Muhammad Rustam Kayani
এমিল বঁভনিস্ত	Émile Benveniste
মারি এলিন	Marie Eline
ওয়াল্টার হাউজার ব্র্যাটেইন	Walter Houser Brattain
আর্থার ওয়েলার্ড	Arthur Wellard
কাজিরো ইয়ামামোতো	Kajirō Yamamoto
কার্ল পপার	Karl Popper
কার্লো লেভি	Carlo Levi
সোরাবজি কোলা	Sorabji Colah
নবি ক্লার্ক	Nobby Clark
গেওর্গি মালেনকোভ	Georgy Malenkov
গ্যাব্রিয়েল পেরী	Gabriel Péri
চার্লস লিন্ডবার্গ	Charles Lindbergh
এল. পি. জয়	L. P. Jai
জর্জ কিংস্‌লি জিফ	George Kingsley Zipf
চার্লস জোন্স	Charles Jones
থিওডোর শুল্ট্‌স	Theodore Schultz
জনার্দন নবলে	Janardan Navle
নলিনাক্ষ রায়	Nalinaksha Roy
নাজিম হিকমত	Nâzım Hikmet
জ্যাক নিউম্যান	Jack Newman
বুস্টার নুপেন	Buster Nupen
কার্লি পেজ	Curly Page
ফ্রেড প্রাইস	Fred Price
ফেলিক্স কেসাদা	Félix Quesada
বড়ে গুলাম আলী খান	Bade Ghulam Ali Khan
বারবারা ম্যাকলিন্টক	Barbara McClintock
জ্যাসিন্ট ভার্ডাগুয়ের	Jacint Verdaguer
সিরিল ভিনসেন্ট	Cyril Vincent
মণীশ ঘটক	Manish Ghatak
জর্জ মার্ফি	George Murphy
মালতী ঘোষাল	Malati Ghoshal
আর্থার মিচেল	Arthur Mitchell
টমি মিচেল	Tommy Mitchell
সৈয়দ মুর্তাজা আলী	Syed Murtaza Ali
মুহম্মদ এনামুল হক	Enamul Haque
মোহাম্মদ হামা	Mohammad Hatta
রসুলান বাঈ	Rasoolan Bai
রাফ রিচার্ডসন	Ralph Richardson
থেলমা রিটার	Thelma Ritter
লেনি রিফনশ্টাল	Leni Riefenstahl
রুহুল্লাহ্‌ খামেনেই	Ruhollah Khomeini
বেভ লিওন	Bev Lyon
লুইস বারাগান	Luis Barragán
ল্যাংস্টন হিউজ	Langston Hughes
নর্মা শিয়েরার	Norma Shearer
সতীশ সর্দার	Satish Sardar
সুলতানউদ্দিন আহমদ	Sultanuddin Ahmad
ডেভিড ও. সেলৎসনিক	David O. Selznick
সৌদ বিন আবদুল আজিজ	Saud of Saudi Arabia
জন স্টাইনবেক	John Steinbeck
জন হাউজম্যান	John Houseman
অ্যালেক হারউড	Alec Hurwood
অ্যান হার্ডিং	Ann Harding
জাভেদ আহমেদী	Javed Ahmadi
হাত্তান বাহেব্রী	Hattan Bahebri
এসরা বিলগিস	Esra Bilgiç
চম্পা চাকমা	Champa Chakma
বেন কুপার	Ben Cooper
ক্রেস্টিয়ান এয়ারিকসন	Christian Eriksen
মারিও গোটজে	Mario Götze
সানা গুলজার	Sana Gulzar
বাবর হায়াত	Babar Hayat
কাইনাত ইমতিয়াজ	Kainat Imtiaz
বন্দনা কাটারিয়া	Vandana Katariya
আয়াবঙ্গা খাকা	Ayabonga Khaka
আলবার্তো মরিনো	Alberto Moreno
নূর-উল-হক	Noor-ul-Haq
স্বপ্না পাব্বি	Sapna Pabbi
রওশনারা পারভীন	Rasanara Parwin
রাবিয়া শাহ	Rabiya Shah
সিদরা আমীন	Sidra Ameen
মোহাম্মাদ রিজওয়ান	Mohammad Rizwan
তাইমুর সাফিন	Timur Safin
সাবির নুরী	Shabir Noori
মেহেদী শরীফি	Mehdi Sharifi
বীর প্রতাপ সিং	Veer Pratap Singh
অঙ্কুর মিত্তল	Ankur Mittal
অতনু দাস	Atanu Das
অদা শর্মা	Adah Sharma
অনুজা পাতিল	Anuja Patil
অন্ডি কেসি	Andie Case
অন্নু রানী	Annu Rani
অবতার সিং	Avtar Singh
অলিভিয়া কালপো	Olivia Culpo
ডুয়ান অলিভিয়ার	Duanne Olivier
অ্যাডাম জাম্পা	Adam Zampa
অ্যান্ড্রু নাবুট	Andrew Nabbout
শন অ্যাবট	Sean Abbott
অ্যাবিডুন অ্যাবিওয়ে	Abiodun Abioye
অ্যালিসন বেকার	Alisson
আকিব ইলিয়াস	Aqib Ilyas
আঙ্কুশ বর্ধওয়াজ	Ankush Bhardwaj
কিয়ারা আদভানি	Kiara Advani
আদৃত রায়	Adrit Roy
আনাম আমিন	Anam Amin
আবুল হাসান	Abul Hasan
আব্দুলায়ে দিয়ালো	Abdoulaye Diallo
আব্দুল্লাহ ওতায়েফ	Abdullah Otayf
আভিষেক মিত্র	Avishek Mitra
আরিয়ান ভৌমিক	Aryann Bhowmik
আলমেজেব মেহসুদ	Alamzaib Mahsud
সাফুরা আলিজাদেহ	Safura Alizadeh
আলিরেজা বেইরানভান্দ	Alireza Beiranvand
আশা ভাট	Asha Bhat
আসিফ আহমেদ	Asif Ahmed
খালেদ আহমেদ	Khaled Ahmed
ইউকি ভাম্ব্রি	Yuki Bhambri
ইউলিয়া এফিমোভা	Yuliya Yefimova
ইয়াচেক গোরালস্কি	Jacek Góralski
ইয়াসির আল-শাহরানি	Yasser Al-Shahrani
ইয়োশিনরি মুতো	Yoshinori Muto
ইশ সোধি	Ish Sodhi
